,BBC_compound,BBC_dtime,BBC_neg,BBC_neu,BBC_pos,CBS_compound,CBS_dtime,CBS_neg,CBS_neu,CBS_pos,CNN_compound,CNN_dtime,CNN_neg,CNN_neu,CNN_pos,Fox_compound,Fox_dtime,Fox_neg,Fox_neu,Fox_pos,NYTimes_compound,NYTimes_dtime,NYTimes_neg,NYTimes_neu,NYTimes_pos,tago
153,-0.5255,Fri Mar 30 20:23:06 +0000 2018,0.134,0.866,0.0,0.0,Wed Jan 31 01:08:01 +0000 2018,0.0,1.0,0.0,-0.6808,Fri Apr 06 02:51:03 +0000 2018,0.226,0.774,0.0,0.4404,Fri Apr 06 10:02:09 +0000 2018,0.0,0.738,0.262,-0.6908,Thu Apr 05 16:45:09 +0000 2018,0.183,0.817,0.0,-153
152,0.0,Sat Mar 31 07:03:06 +0000 2018,0.0,1.0,0.0,0.7525,Wed Jan 31 01:16:15 +0000 2018,0.0,0.669,0.331,-0.7096,Fri Apr 06 03:03:48 +0000 2018,0.237,0.648,0.115,0.3612,Fri Apr 06 10:04:45 +0000 2018,0.0,0.902,0.098,-0.4588,Thu Apr 05 17:00:26 +0000 2018,0.15,0.85,0.0,-152
151,0.0,Sat Mar 31 08:04:03 +0000 2018,0.0,1.0,0.0,0.0,Wed Jan 31 01:17:37 +0000 2018,0.0,1.0,0.0,0.2023,Fri Apr 06 03:11:06 +0000 2018,0.128,0.708,0.164,0.0,Fri Apr 06 10:07:35 +0000 2018,0.0,1.0,0.0,0.0258,Thu Apr 05 17:16:03 +0000 2018,0.0,0.95,0.05,-151
150,0.6369,Sat Mar 31 09:04:03 +0000 2018,0.0,0.802,0.198,-0.5106,Wed Jan 31 01:18:37 +0000 2018,0.398,0.602,0.0,-0.5106,Fri Apr 06 03:31:02 +0000 2018,0.212,0.788,0.0,0.25,Fri Apr 06 10:11:47 +0000 2018,0.0,0.875,0.125,-0.5423,Thu Apr 05 17:30:11 +0000 2018,0.149,0.851,0.0,-150
149,0.0,Sat Mar 31 10:27:04 +0000 2018,0.0,1.0,0.0,0.6588,Wed Jan 31 01:24:16 +0000 2018,0.0,0.614,0.386,-0.4019,Fri Apr 06 03:44:56 +0000 2018,0.184,0.721,0.095,-0.3182,Fri Apr 06 10:14:37 +0000 2018,0.23,0.621,0.149,-0.8625,Thu Apr 05 17:46:06 +0000 2018,0.515,0.408,0.077,-149
148,0.93,Sat Mar 31 10:37:18 +0000 2018,0.0,0.42,0.58,0.8309,Wed Jan 31 01:29:10 +0000 2018,0.0,0.586,0.414,-0.8126,Fri Apr 06 03:50:21 +0000 2018,0.457,0.543,0.0,-0.7783,Fri Apr 06 10:20:39 +0000 2018,0.358,0.642,0.0,-0.6461,Thu Apr 05 18:00:15 +0000 2018,0.217,0.783,0.0,-148
147,0.7579,Sat Mar 31 10:37:23 +0000 2018,0.0,0.745,0.255,0.8261,Wed Jan 31 01:31:27 +0000 2018,0.0,0.566,0.434,0.1531,Fri Apr 06 04:01:01 +0000 2018,0.067,0.848,0.085,0.0,Fri Apr 06 10:36:11 +0000 2018,0.0,1.0,0.0,-0.4019,Thu Apr 05 18:10:35 +0000 2018,0.213,0.787,0.0,-147
146,-0.6351,Sat Mar 31 11:26:30 +0000 2018,0.18,0.82,0.0,0.5093,Wed Jan 31 01:49:43 +0000 2018,0.0,0.82,0.18,0.7891,Fri Apr 06 04:16:35 +0000 2018,0.0,0.8,0.2,0.8591,Fri Apr 06 10:41:43 +0000 2018,0.0,0.753,0.247,-0.4588,Thu Apr 05 18:15:03 +0000 2018,0.214,0.786,0.0,-146
145,0.1779,Sat Mar 31 11:28:03 +0000 2018,0.0,0.638,0.362,0.4939,Wed Jan 31 01:52:46 +0000 2018,0.119,0.625,0.256,-0.2023,Fri Apr 06 04:31:05 +0000 2018,0.065,0.935,0.0,-0.8779,Fri Apr 06 10:44:41 +0000 2018,0.457,0.543,0.0,0.0772,Thu Apr 05 18:31:05 +0000 2018,0.16,0.622,0.218,-145
144,-0.3404,Sat Mar 31 11:50:05 +0000 2018,0.179,0.821,0.0,-0.4767,Wed Jan 31 01:58:40 +0000 2018,0.256,0.744,0.0,-0.9136,Fri Apr 06 04:46:03 +0000 2018,0.476,0.524,0.0,0.0,Fri Apr 06 10:45:53 +0000 2018,0.0,1.0,0.0,-0.5994,Thu Apr 05 18:46:05 +0000 2018,0.206,0.794,0.0,-144
143,0.0,Sat Mar 31 12:31:02 +0000 2018,0.0,1.0,0.0,-0.2263,Wed Jan 31 02:15:16 +0000 2018,0.252,0.569,0.179,0.4019,Fri Apr 06 05:01:07 +0000 2018,0.0,0.722,0.278,0.3182,Fri Apr 06 10:59:54 +0000 2018,0.0,0.912,0.088,0.0,Thu Apr 05 19:01:03 +0000 2018,0.0,1.0,0.0,-143
142,0.128,Sat Mar 31 13:01:05 +0000 2018,0.152,0.662,0.185,0.9324,Wed Jan 31 06:55:30 +0000 2018,0.054,0.569,0.376,-0.0772,Fri Apr 06 05:16:03 +0000 2018,0.053,0.947,0.0,0.34,Fri Apr 06 11:02:28 +0000 2018,0.0,0.87,0.13,0.0,Thu Apr 05 19:15:05 +0000 2018,0.0,1.0,0.0,-142
