,City,lat,lon,temp,humidity,clouds,wind,c_id
629,buschelhof,49.3,9.583333,43.37599999999999,100,90,4.1,6555543
179,quinta do itanhanga,-22.976407,-43.323919,76.83800000000005,94,0,3.56,3473640
75,barao de suacuna,-8.4,-35.266667,77.26999999999995,88,75,2.1,3400804
499,guayabo,17.833333,-95.166667,73.95439999999999,62,92,7.61,3825170
254,majura,-35.266667,149.2,71.86999999999996,53,40,3.6,2159023
470,hisn thujay`ah,15.0666667,48.0333333,49.564399999999964,54,0,1.91,80383
508,pinmaotsun,22.5333333,120.95,77.26999999999995,53,75,4.1,6658309
195,sitio reginaldo auersvaldt,-26.1044,-49.9746,65.16679999999998,99,80,1.31,3458147
214,canudos,-29.333333,-52.25,72.27679999999995,92,88,1.66,3452241
232,saint gabriel,-31.466667,27.683333,45.141799999999975,90,20,0.96,1005781
114,poro occo,-16.1,-71.0,57.469999999999956,67,0,2.1,3939531
624,stehekin,48.3094444,-120.6552778,30.574400000000047,65,20,0.76,5802694
447,patala,11.65,16.1166667,73.95439999999999,26,0,4.76,2428216
260,mila,-37.066667,149.166667,59.181799999999996,88,88,1.41,2157706
161,machunguel,-22.6388889,35.2744444,73.22180000000003,94,64,1.41,1100188
2,mansele,-2.0833333,16.45,73.22180000000003,94,0,1.21,2316748
652,novo-kondurovskiy,52.598611,59.4175,9.604399999999988,62,0,4.46,504651
585,semyonovka,40.6530556,44.9097222,33.54440000000001,100,76,0.26,616139
305,barrytown,-42.25,171.333333,59.27180000000002,100,92,1.66,2186218
669,tiefensee,54.378382,20.274704,34.06999999999996,83,90,2.0,766507
371,estancia hill station,-51.57542,-69.233073,44.86999999999996,45,0,5.7,3854293
76,lembuwatu,-9.5279,119.2848,78.66679999999998,91,12,1.51,7557066
440,guayabo,11.0666667,-68.7333333,73.77440000000004,76,64,1.26,3632186
593,miller grove,40.0066667,-84.4641667,41.54000000000002,88,40,1.31,4505390
100,ampombimiantona,-15.9833333,47.5166667,67.10179999999997,91,32,1.01,1055059
541,nanowal,32.15,75.183333,59.26999999999996,100,0,1.0,1179255
725,povarnya maglyy,67.116667,150.233333,5.644400000000008,76,64,1.81,0
445,gouforou,9.25,2.6166667,72.33440000000003,87,12,1.21,2392204
189,matos costa,-26.45,-51.15,65.57180000000002,96,92,1.06,3466393
576,ban-e vizeh,33.6299,46.1924,39.469999999999956,80,0,1.0,138568
684,meleski,58.4319444,26.0836111,28.66999999999996,79,32,4.1,589307
676,bolshaya rudka,57.123339,46.726082,14.464399999999966,79,24,3.56,495767
640,bolshaya karpovka,51.8644,37.8014,35.07440000000005,96,92,5.96,540121
484,batey paraiso dos,18.6333333,-69.2,74.60600000000002,83,20,2.1,3512735
206,zunckels,-28.85307,29.397663,59.721800000000016,96,92,1.16,1019933
54,bleber wetan,-6.5254,110.9626,77.00179999999996,100,24,1.86,6742894
178,batallon ingeniero numero cinco p.j. caballero,-24.65,-58.716667,72.36679999999998,93,44,1.26,3427949
162,chicauane,-24.1019444,33.7716667,75.11180000000004,63,0,3.66,1040938
369,douglas station,-51.45,-58.5833333,41.26999999999996,86,20,6.2,3426768
414,hacienda santiago del rey,0.3833333,-78.1833333,51.00439999999999,100,80,0.61,3660478
372,lago argentino,-50.336979,-72.265135,48.56180000000004,53,0,9.86,3858677
